ID	ND	FL
RGIG1902	0.0003771267	0.0003168454
Timburyella	0.0003188281	0.0003748185
JAIPFY01	0.0004588348	0.0002338944
JAYEHL01	0.0002444161	0.000448262
Gemelliphila	0.0001836749	0.0005077838
UBA9732	0.0002903129	0.0004010477
JAUZPI01	0.0005395975	0.0001508204
Microcoleus	7.339463e-05	0.0006164606
Egerieicola	0.0003345309	0.0003507786
UBA10329	0.0004198388	0.0002651732
CAG-302	0.0002500208	0.0004343956
Egerieenecus	0.0004050557	0.0002777685
CAMCHB01	0.0001666733	0.0005159746
JABXKX01	0.0003428722	0.0003393326
Mobilisporobacter	0.0002006277	0.0004814426
CALXAO01	0.0002899657	0.0003912912
RUG11783	0.0003023701	0.0003767859
PNOM01	0.0001978294	0.0004780625
Sporomusa	0.0002945854	0.0003812999
Brucella	0.0003088174	0.0003658977
CALXCQ01	0.000280761	0.0003919955
RUG11795	0.0004214503	0.0002508739
G963664585	0.0003612564	0.0003101388
JAITNP01	0.0002853624	0.0003860116
WRNX01	2.295201e-05	0.0006478265
Acetivibrio	0.0003138972	0.000354691
CYSP01	0.0001817502	0.0004854584
BNYG01	0.000150707	0.0005144753
WRJK01	0.000283109	0.0003817824
Methylobacter_B	0.0002893163	0.0003730445
UMGS731	0.000229277	0.000432724
JAEYFP01	0.0005490484	0.0001119454
Ramlibacter	0.0003613831	0.0002995104
RZYO01	0.0002636548	0.0003958955
RUG760	0.0004056577	0.0002537359
JAISDE01	0.0006340425	2.52068e-05
CAAEEV01	0.0003934882	0.0002649993
JAIRRO01	0.000401624	0.0002565609
RUG13409	0.0004247725	0.0002325425
Saccharicrinis	0.0003458337	0.0003098397
JALHDB01	0.0001137556	0.0005401325
Sporosalibacterium	3.674985e-05	0.0006160193
RGIG3159	0.000378888	0.0002731246
UBA1221	0.0002605984	0.0003905562
JAAYLC01	0.000435149	0.0002158233
UBA6114	0.000433811	0.0002163486
HdN1	0.0002246038	0.0004226436
JAAYFT01	0.0006460697	4.429889e-07
JADGAN01	9.134015e-05	0.000555171
JAFAZJ01	0.0001817341	0.0004636844
CAJPNN01	0.0002152517	0.0004295206
SIG598	0.0005210602	0.0001237004
Enterococcus	0.000159337	0.0004851088
Egerieisoma	0.0002368303	0.0004068003
CAG-1000	0.0002451407	0.0003976365
Treponema_F	0.0004184582	0.0002230971
Pseudomonas_E	0.0003091747	0.0003320105
G963677915	0.0004438844	0.0001961166
Proruminimicrobium	0.0003200012	0.0003197366
CALXCT01	0.0004230006	0.0002142856
RUG420	0.0002434078	0.0003931817
JAILFK01	0.000300101	0.0003359102
CABSMD01	0.0002497595	0.0003850357
RGIG5705	0.0003054948	0.0003253975
SIG440	0.0003225484	0.0003083112
Paenibacillus_E	0.0003261036	0.0003041356
UBA8949	0.0004107871	0.0002191897
Ellagibacter	0.0003730073	0.0002553817
RGIG5021	0.0003147573	0.0003134538
Eggerthella	0.0003068973	0.0003201774
Pseudoclostridium	0.0002841137	0.0003415947
NK3A76	0.0003457689	0.0002790923
Treponema_B	0.0002555519	0.000368908
RUG572	0.0001589302	0.0004650674
Nonlabens	0.0004037209	0.0002194095
RGIG9041	0.0001045765	0.0005179826
WRLA01	0.0002021801	0.0004194949
Deferribacter	4.377452e-07	0.0006204485
RUG14199	0.0002420769	0.0003778835
BRH-c8a	0.0002121866	0.0004071044
Bradyrhizobium_A	0.0002135611	0.0004054244
CAOJBM01	0.0001148542	0.0005035369
Colenecus	0.0003003254	0.000317994
Pelethosoma	0.000233006	0.0003845683
UBA12158	7.89962e-05	0.0005364548
Bacillus_A	0.0004079287	0.0002069345
RUG754	0.0002719285	0.0003413197
Achromobacter	0.0003085395	0.0003044123
Escherichia	0.0002143539	0.0003975667
CANQHX01	0.0003088402	0.0002996742
Brachyspira	0.0003731874	0.0002349141
Aerococcus	0.0001313924	0.000476263
OLB11	0.0002767906	0.000330237
UBA8612	0.0001796507	0.0004260872
UBA5578	0.0001010787	0.0005016714
UBA4716	0.0002665334	0.0003360974
JAAYPV01	0.0002687481	0.0003311497
UBA3796	0.0003532214	0.0002458519
UBA10566	0.0001988944	0.0003988369
WGA-3G	0.0001747319	0.0004226135
Kingella_C	0.0001616234	0.0004344872
RGIG7773	0.0003341311	0.0002616907
Nocardia	0.0002789663	0.0003159012
RUG12395	0.000300872	0.0002884664
Copromonas	0.0002687698	0.0003200199
JBFHIZ01	0.0003046838	0.0002822282
Ureibacillus	0.000298075	0.0002864961
G963666535	0.0002478203	0.0003363397
Aphodoplasma	0.0002634679	0.0003200819
SIG636	0.0003460077	0.0002363968
Maribacter_A	1.094363e-06	0.0005803832
CALWPY01	0.0002511835	0.0003291085
RUG369	0.0001877408	0.0003924969
WRHW01	0.0003587626	0.0002196266
JACTOJ01	0.0001771264	0.0004005467
SIG351	0.0002470391	0.0003305101
CAJFUR01	0.0003233355	0.0002537293
RUG14891	0.0003471263	0.0002291558
Caccosoma	7.262023e-05	0.0005033331
Avelusimicrobium	0.0003137046	0.0002615121
RUG11462	0.0002406097	0.0003329601
Clostridium_AD	0.0002382936	0.0003350367
CAG-552	0.0001430909	0.0004301107
Hominifimenecus	0.0002599189	0.0003131748
UBA2289	0.0003507776	0.0002198912
CANQSA01	0.0001493943	0.0004176402
RGIG3077	0.0002838355	0.0002824958
Meiothermus	0.0002349385	0.0003310446
CAISPN01	0.0001605827	0.000403083
Rhodanobacter	0.0002705516	0.0002922715
UBA2558	0.0002624153	0.0002997522
Hyphomicrobium_B	0.0002167119	0.0003446179
RGIG8762	0.0002214989	0.0003393739
JAFLUR01	0.0002714571	0.0002890398
CAMWMY01	0.0004102693	0.0001499342
RGIG1927	0.0001733495	0.000386687
CALCTE01	0.0002953851	0.0002642668
CAKVNM01	0.0001391401	0.0004204781
UMGS1279	0.0002320573	0.0003268254
Criibacterium	0.0002387454	0.0003198605
UBA1305	0.0001552513	0.0004031246
Phoenicibacter	0.000212474	0.0003450023
Copranaerobaculum	0.0002923522	0.000260325
JAISIB01	0.000289753	0.0002629041
Oxalobacter	0.0001936038	0.0003572
Flammeovirga	0.0001900989	0.0003602989
Orientia	0.0002965131	0.000253567
UMGS1225	0.000353567	0.0001957929
RGIG4608	0.000294241	0.0002544417
CAKUFA01	0.0003339441	0.0002137407
UBA1063	0.0003507987	0.0001967933
Companilactobacillus	0.0002552008	0.0002923338
Fiminaster	0.0002158494	0.0003312577
CALXUC01	2.441183e-05	0.0005222037
JAMCTM01	0.0001548661	0.0003906732
Beduinella	0.0002738932	0.0002715248
GCA-2729515	0.000175192	0.0003671688
Niallia	0.0001236207	0.0004179284
UBA1351	0.0002145548	0.0003268673
Pollutibacter	0.0001993446	0.0003419265
UBA1715	0.0004575577	8.222927e-05
Terrisporobacter	0.0002198411	0.0003196518
RGIG9115	0.0002042094	0.000334936
UMGS1322	0.0001676792	0.0003712165
RGIG6353	4.783539e-05	0.0004906989
DTU069	0.0002066241	0.0003304006
SIG208	0.00017431	0.0003620177
UMGS1491	0.0001730371	0.0003629989
RUG334	0.0002764238	0.0002589875
Rhizobium	0.0002268671	0.0003079825
Heteroscillospira	0.0002867246	0.0002480021
Aequorivita	0.0003902403	0.0001440537
CAKVJS01	0.0001064153	0.0004274237
SKGN01	0.0002204461	0.0003132088
GCA-002282575	0.0001640435	0.000368425
Izhakiella	0.0003276425	0.0002047654
MGBC140090	0.0001061789	0.0004254151
Erysipelothrix	3.508123e-05	0.0004954122
UBA2466	0.0005300009	0
Paenibacillus_B	0.0002340724	0.0002957855
UBA3738	0.0001557762	0.0003740609
Clostridium_AN	0.0002882408	0.0002399614
Holtiella	0.0002445489	0.0002832028
Tepidibacter	0.0001646981	0.0003609054
Siminovitchia	0.0002358312	0.0002894666
SIG710	0.0001918247	0.0003333341
UBA3857	0.0001409934	0.0003806733
CAIKAF01	0.0003243877	0.0001960955
WRNG01	0.0001377253	0.0003816637
SIG644	0.0002615181	0.0002567465
PALSA-894	0.0003106854	0.0002066172
Microsaccharimonas	0.0001481269	0.0003690981
WRIE01	0.0004250401	9.153996e-05
WRAB01	0.0002164778	0.0002988099
CALALP01	0.0003690853	0.0001457121
CAJMSU01	0.0001901164	0.0003240437
Desulfotomaculum	0.0001720001	0.0003414145
JBAZOO01	0.0001283134	0.0003841454
CANQXJ01	0.0001691673	0.0003419242
RGIG6154	0.0002021606	0.0003087936
Cyclobacterium	0.0004226332	8.736845e-05
UBA2918	0.0002409971	0.0002688705
Solibacillus	0.0002055169	0.0003043397
SIG480	0.0001919363	0.0003164593
JAITXK01	4.055531e-05	0.0004663395
Avimonoglobus	0.0001553388	0.0003510371
SIG589	0.000291676	0.0002146552
Parachristensenella	0.0002240861	0.0002820539
RGIG4130	0.0002484669	0.0002574964
SLNP01	0.0004449106	6.00141e-05
JAAYOS01	0.000339746	0.0001627871
JAUYMQ01	0.0002018654	0.0003004467
Enterococcus_A	0.0001539668	0.0003463635
Anaerovirgula	7.264482e-05	0.0004270826
Aphodocola	0.0002562949	0.000242854
CAKXIK01	0.0002935155	0.0002054837
JALNVG01	0.0003196825	0.0001782388
RGIG4131	0.0002466634	0.0002508264
SIG452	0.0002406507	0.0002560286
CATKEA01	5.136605e-05	0.0004450754
Alkalibacterium	2.741948e-05	0.0004674387
UBA1426	0.0002186912	0.000275927
Egerieimonas_A	0.0001863513	0.000308196
JAFDIG01	0.0001458491	0.0003485192
Aquirhabdus	0.0001712183	0.0003222782
CALWLY01	0.0001526803	0.0003389343
JAVXAG01	0.0003976228	9.39539e-05
Serinicoccus	0.0001619144	0.0003293575
Pseudoramibacter	0.0002759179	0.0002138805
UBA3680	0.0003688314	0.0001209193
Catalinimonas	0.0002180428	0.0002698038
RGIG3009	0.000314443	0.0001707621
JTS-AC122	0.0002938546	0.0001896051
CAJTWN01	0.0002943575	0.0001882624
JBBRLG01	0.0001185187	0.000362508
JANXYN01	0.0001233721	0.0003569541
HGM12650	0.000153376	0.0003266095
CABVBB01	0.0001790326	0.000299096
RGIG5418	0.0002697791	0.0002068302
CAG-1252	0.0002448739	0.0002316796
Paratissierella	0.0003176662	0.0001586467
SZUA-186	0.0002151888	0.0002606381
Kandleria	7.387371e-06	0.0004675664
JAJGRE01	0.0002108032	0.0002636144
Paucilactobacillus	0.0002222212	0.0002519645
JAJQCF01	0.0001038742	0.0003703076
JAEEOQ01	0.0002395571	0.0002335729
RGIG529	0.0002533766	0.0002188316
HGM13862	0.0003195806	0.0001514916
Veillonella_A	0.000134374	0.000336484
Lachnobacterium	0.0001251875	0.0003454115
JAAYOP01	0.0002145929	0.0002549232
CATNEU01	9.884371e-05	0.0003697753
G963662675	0.0004077678	6.067743e-05
Faecivicinus	0.0002294041	0.0002390107
UBA1732	0.0002106397	0.0002562101
Plantibacter	0.0001049325	0.0003615113
CAKTXU01	0.0002293062	0.0002366072
Vagococcus_D	0.0002181786	0.0002477088
JAFGVL01	0.0003061586	0.0001594603
JAJBTS01	0.0002288628	0.0002351513
JAJQBJ01	0.0002794948	0.0001840132
RUG11690	0.0002803444	0.0001829496
RGIG8748	0.0001514874	0.0003113015
JAIRKS01	4.747284e-05	0.0004140973
CAKSFT01	0.0001050336	0.0003554729
FEN-1297	4.096563e-05	0.0004192505
BRH-c25	9.173342e-05	0.0003682655
JABGQS01	0.0001617486	0.0002981137
XBD2001	0.0001789793	0.000280479
Ferruginibacter	0.0002046438	0.0002536474
CAG-1024	0.0002143117	0.0002423955
JAUNSR01	0.0001824821	0.0002733028
CAMXAS01	0.0002190772	0.0002359289
CAG-449	0.0001873962	0.0002667978
Limihabitans	9.327404e-05	0.0003604427
JAISWZ01	0.0001515881	0.0003015971
Enteroscipio	0.0002266359	0.0002264809
Palsa-881	8.762425e-05	0.0003650494
CASRZP01	8.680073e-05	0.0003650267
CASDQQ01	0.0002978268	0.0001518434
Miniphocaeibacter	3.605105e-05	0.0004130521
Cytobacillus	0.0001776495	0.0002714337
Salinicoccus	9.288687e-05	0.0003555639
CALMWN01	0.0002165971	0.0002291914
UMGS1388	0.0001902787	0.0002538272
Scybalosoma	0.0001651814	0.0002786501
Proteiniborus	0.000246719	0.0001954591
Solidesulfovibrio	0.0002022595	0.0002387699
Howiella	0.0001756285	0.0002653028
RUG350	0.0001951053	0.0002453827
RGIG577	0.000200281	0.0002401349
JAEEJN01	0.0001915979	0.0002487823
UBA1205	0.0002174112	0.0002227216
RUG12438	8.160462e-05	0.0003577676
Aphodovivens	0.0002270271	0.0002121606
JAAZIQ01	0.0001281162	0.0003105352
Micromonospora_H	0.0003066021	0.0001319682
Abyssisolibacter	9.002785e-05	0.0003484395
RGIG5755	8.878886e-05	0.0003492063
Alloenteromonas	0.000100971	0.0003367641
JAIDVZ01	0.0001768595	0.0002605411
JACKDM01	6.828825e-05	0.0003690751
CAG-349	0.0001648299	0.0002714899
Clostridium_D	0.0002211578	0.0002143805
RGIG5579	0.0001343076	0.0003006991
JAEZHK01	0.0001965085	0.0002378482
JAAYBW01	0.0002820599	0.0001513252
JAEEHZ01	0.0001477826	0.0002854805
JAQUTY01	0.0002393629	0.0001902181
Neorhizobium	0.0001753932	0.0002529474
Loigolactobacillus	0.0002186398	0.0002090488
Selenomonas	0.0001190946	0.0003073455
Youngiibacter	0.0002782642	0.0001480061
HGM13222	0.0001545724	0.0002714371
JAVBUZ01	0.0001932583	0.0002323324
Lapidilactobacillus	0.0001984302	0.0002225814
UBA8514	0.0002208606	0.000199859
RUG14300	9.526495e-05	0.0003249052
Chryseobacterium	0.0001948935	0.0002251726
Dwaynesavagella	0.0001586478	0.000261278
SABY01	0.0001182631	0.0003013736
Shimazuella	0.0002703985	0.0001490298
Propionispira	0.0002592141	0.0001600969
UBA5239	0.000167745	0.0002514865
W0P31-042	0.0002813234	0.0001377291
TH-plancto1	0.0001907973	0.0002263387
46-80	0.0002054105	0.0002108596
JAOTWJ01	0.0001993303	0.000216893
Nanogingivalis	5.764108e-05	0.0003585508
DUPG01	0.000186972	0.0002290793
G963677185	0.0002579858	0.0001579342
Trichlorobacter	0.0002324444	0.000183124
RUG11198	0.0001739317	0.0002412527
RUG12867	4.461925e-05	0.0003698349
UBA1783	0.0002332634	0.0001807057
CASFCS01	0.0002306981	0.0001830078
Globicatella	0.0002129989	0.0002006578
AWVT01	0.0002095143	0.0002038412
RGIG9151	0.0002470985	0.0001661918
UBA1433	0.0001584361	0.0002547031
Z2-YC6860	0.0001743906	0.0002386351
JAITLA01	0.0003231099	8.949974e-05
Comamonas_C	0.0002129609	0.0001994669
JAITTS01	0.0001335899	0.0002769814
Varibaculum	0.0001984166	0.0002120071
Paenibacillus_S	0.0001958861	0.000213845
JAZKAN01	0.0001590964	0.0002503564
UBA952	0.0002528502	0.0001563241
DYFB01	0.0002392886	0.0001694231
UBA3774	0.0002905752	0.000117564
Sarcina	0.0001677654	0.0002368708
Heliobacterium	8.760307e-05	0.0003153874
Pelotomaculum_C	0.0002818622	0.0001208924
Ancylomarina	1.569377e-05	0.0003856402
CAG-313	0.0001547562	0.0002462496
SIG499	0.0001812665	0.0002190606
UBA5436	0.0001068168	0.000293436
PMNU01	6.481154e-05	0.0003341713
Bordetella_B	0.0002085822	0.0001898359
UBA1412	0.0001220492	0.0002753213
Desulfitibacter	0.0001996015	0.0001976488
JAAYSX01	2.188726e-07	0.0003948227
RZYY01	0.0001863477	0.0002081388
Desulfovermiculus	0.0001257291	0.0002681159
JAAZFB01	0.0002588602	0.0001349632
UBA3631	0.0001015059	0.0002916919
Spirosoma	0.0002230931	0.0001700833
CALGRC01	0.0001666053	0.0002246545
JAAYIG01	0.0002558797	0.0001347686
JAEYUN01	0.000308224	8.186181e-05
Faecimonas	7.664591e-05	0.0003127162
Eubacterium_O	0.0001359569	0.0002519438
JALCQC01	1.984005e-05	0.0003680375
Paenibacillus_N	0.0001380263	0.0002496388
NSKI01	1.351196e-05	0.0003734221
UMGS2016	0.0001103479	0.000276164
Polaromonas	0.0001733409	0.0002124425
Avichristensenella	0.0002915577	9.382592e-05
Rhodocaloribacter	0.0001387007	0.0002464304
Papillibacter	0.0002326937	0.0001521693
Aegiribacteria	0.000301908	8.255345e-05
UBA6115	8.225955e-05	0.0003017029
Bordetella_C	8.69095e-05	0.0002968181
SIG603	0.0001226591	0.0002607821
JAFGSC01	0.0001180209	0.0002637801
CAKUOV01	0.0001001677	0.0002808574
UBA4246	0.0003026288	7.686859e-05
CALXCR01	0.0002280518	0.0001513472
UBA9786	0.0001372935	0.0002413838
RGIG4694	9.664639e-05	0.0002806487
CALWJF01	0.0001847414	0.0001924688
Aquitalea	0.0002556459	0.0001212033
Ralstonia	0.0002131168	0.0001632942
Aquipluma	0.0002009146	0.0001744797
SNAP01	0.0001485099	0.0002267223
UBA1440	8.420685e-05	0.0002909288
Rufibacter	0.0001984478	0.0001763651
SIG301	3.421018e-05	0.0003405052
Natranaerovirga	0.0001060596	0.0002681523
Lactococcus_A	0.0001709326	0.0002021234
Thermosipho_B	0.0002289865	0.0001434484
CAG-307	0.0001862979	0.0001858053
RGIG7265	0.0001155034	0.0002564617
RGIG1988	0.000171011	0.0002008213
JBBSJV01	0.0002886338	8.248832e-05
Sulfurimonas	0.0001032298	0.0002673709
JAEYRA01	0.0001554225	0.0002150363
CALUZH01	0.0002748458	9.436749e-05
Fusobacterium_B	0.0001743319	0.000194745
Yeguia	0.0001693324	0.0001992384
RGIG3701	0.000119253	0.0002492744
JAUNKE01	0.0002258044	0.0001425519
SIG291	0.0002268798	0.0001406978
JAGZLR01	0.0001249132	0.0002421324
JBAYZB01	7.721172e-05	0.0002891218
Rubneribacter	0.0001966627	0.0001690935
JAUNBY01	0.0001177802	0.0002476296
Fusibacter_C	0.0001173904	0.0002472763
DATMXT01	0.0002376523	0.0001269826
JAAVLZ01	0.0002573684	0.000106201
UMGS1052	0.0002051751	0.0001579269
SFJ001	0.0001745657	0.0001881014
UBA5704	0.0002118047	0.0001506465
Epulopiscium_A	8.045113e-06	0.0003542651
JAISSA01	0.0001586689	0.0002036131
JAEDFS01	0.0001053495	0.0002569295
SM3-B41	0.0001766287	0.0001844741
Thermalbibacter	9.477184e-05	0.0002657054
UBA1444	0.0002422532	0.0001177283
Hepatobacter	0.00016881	0.0001899869
CANQVB01	5.172764e-05	0.0003068099
JAEZXR01	0.0001413422	0.0002168889
Devosia_A	0.0001711506	0.0001866637
Williamwhitmania	0.0001753925	0.0001812615
JAYFRL01	2.003311e-05	0.0003365871
12844	0.0001604237	0.0001956294
Bacillus_D	0.0001127144	0.0002433252
Croceivirga	0.0001181645	0.0002363157
UBA1770	0.0002949197	5.938704e-05
Fundidesulfovibrio	7.04646e-05	0.0002834925
Kroppenstedtia_A	0.000142665	0.00021073
JAABPW01	0.0001514553	0.0002018312
RGIG3732	0.0001129006	0.0002403223
RGIG4074	4.646019e-05	0.0003064924
CALYAR01	0.0001829229	0.0001699702
Herpetosiphon	0.0001537616	0.0001987013
Nitrobacter	0.0001568482	0.0001955542
JAAYDK01	9.107397e-05	0.0002611856
Clostridium_AT	0.0001094638	0.0002420074
QALR01	0.0001667315	0.0001842587
Vallitalea_A	0.0002150894	0.000135171
Avibacteroides	0.0001006956	0.0002490181
Rhodoferax_B	0.0001496375	0.000199055
RGIG9201	9.568204e-05	0.0002527986
UMGS124	0.0001811086	0.0001671021
Filimonas	0.0001406149	0.0002068409
SICB01	5.614728e-05	0.0002910754
Scrofimicrobium	0.0002717115	7.548576e-05
JAEYPM01	0.0001662875	0.0001806935
Leptotrichia	4.840605e-05	0.0002984337
UBA929	0.0002273288	0.000118731
GWA1-40-21	7.69921e-05	0.0002689183
UBA3700	3.93782e-05	0.0003053558
RGIG4607	0.0001090824	0.0002351245
UBA11540	0.0002648289	7.93171e-05
CAKSCM01	0.0001235336	0.0002202876
UMGS1474	9.29255e-05	0.0002508373
UBA3775	0.0001808781	0.0001628117
WOFB19	3.660617e-05	0.0003069846
HGM11367	5.981957e-05	0.0002837103
RUG705	0.0002277494	0.0001153879
Pseudonocardia	0.0001562565	0.000186291
Gallacutalibacter_A	0.000197216	0.0001450477
JAQVMT01	8.650022e-05	0.0002553463
Paracraurococcus	0.0001637346	0.0001775483
Paratractidigestivibacter	0.0001322517	0.0002088109
JAFAFE01	0.0002258829	0.0001145788
CAKSUT01	0.0001927377	0.0001475427
CANRHR01	0.0001268917	0.0002133435
JALCST01	0.0002703475	6.95997e-05
JAIROC01	0.0001110992	0.0002275078
MGBC133411	0.0002060219	0.0001320275
CALAMD01	2.372893e-05	0.0003141698
Raoultibacter	0.0001879835	0.0001493662
CAG-877	0.0001077446	0.0002295506
Teretinema	8.63422e-05	0.0002504746
CABQCM01	0.0001459139	0.0001908513
MWCQ01	0.0001199387	0.0002166577
Caloranaerobacter	0.0001901936	0.0001462097
Levilactobacillus	0.0001443882	0.0001919448
Mitsuokella	7.003923e-06	0.000329097
CAKUMP01	7.454331e-05	0.0002604007
JAVBTR01	0.0003021107	3.269956e-05
CALWZE01	0.0001555363	0.0001789662
Camelimonas	8.403989e-05	0.0002502403
Suipraeoptans	0.0001222654	0.0002115567
Clostridiisalibacter	8.102635e-05	0.0002526607
RGIG7111	5.229026e-05	0.0002813838
Dialister	0.0002225997	0.0001106915
Collibacillus	4.368816e-05	0.0002890763
Clostridium_AK	0.0002529372	7.980863e-05
Aquicella	8.95342e-05	0.0002428141
SIG495	0.0001117079	0.0002204261
RGIG2163	0.0002075677	0.0001238857
SIG450	0.000191226	0.0001401646
GCA-2786165	0.0001755288	0.0001558215
Duodenibacillus	0.0001272426	0.0002038925
CAG-314	7.758422e-05	0.0002529807
SUG393	0.0001054817	0.0002240325
UMGS1338	0.0001642951	0.0001651959
GSA-30	0.0001747921	0.0001540692
SIG336	8.698869e-05	0.000241632
HGM05232	0.0001887192	0.0001398924
Clostridium_L	9.272611e-05	0.0002342066
Paucisalibacillus	8.037987e-05	0.0002458073
Carnobacterium_A	6.719606e-05	0.0002586566
CALVLD01	9.81687e-05	0.0002257623
UMGS929	0.0001169536	0.0002063346
HGM13634	5.69732e-05	0.0002659655
Sphaerochaeta	6.894175e-05	0.0002526296
SIG308	0.0001359058	0.0001853626
RGIG10340	6.135094e-05	0.0002597109
JAOZTV01	0	0.0003198004
Ottowia	0.0001652824	0.0001542722
JAVBNU01	6.520148e-05	0.000252632
JAEELB01	0.0001133917	0.0002042846
Gemmiger_A	0.0002008604	0.0001167032
Exiguobacterium_A	0.0001488516	0.0001686917
Microvirga	0.0001339816	0.0001832805
G963662695	0.0001537085	0.0001633561
CANPVN01	4.710288e-05	0.0002694436
Phascolarctobacterium_B	0.000157405	0.0001585423
Chryseolinea	0.0002309432	8.455173e-05
Hydrogenoanaerobacterium	0.0001418652	0.000173401
Fructilactobacillus	0.0001490808	0.0001659764
OESV01	0.0001654487	0.0001491664
MGBC162581	9.029879e-05	0.0002238566
Micromonospora	0.0001379758	0.0001758478
Heteroruminococcus	0.0001612449	0.0001519266
DUMB01	0.0002262713	8.611523e-05
62-47	0.0001458335	0.0001664299
Bacillus_T	0.0002319921	8.022503e-05
UBA1413	0.0002557805	5.638652e-05
2011-GWC2-44-17	5.091974e-05	0.0002607796
UBA1067	6.938121e-05	0.0002422348
CALYBN01	0.0001295261	0.0001818779
Planococcus	9.996466e-05	0.0002109056
JACQGZ01	7.694472e-05	0.0002331648
Mahella	0.0001478667	0.000161491
JANLFN01	0.0001024938	0.0002066573
RGIG9113	0.0001686153	0.0001398937
JAVVXB01	0.0001490838	0.0001593883
Alkaliphilus_B	4.975051e-05	0.0002584525
CANPGX01	9.187992e-05	0.0002160739
JAIROX01	4.351225e-05	0.000264368
CALGKJ01	0.0001464375	0.0001611842
HGM11412	4.584067e-05	0.0002614802
Chitinophaga	0.000101325	0.0002053075
Terrimonas_B	0.0001005048	0.0002056953
Geomonas	0.0001174303	0.0001887307
Geodermatophilus	0.0001635341	0.0001423809
JAJQCX01	0.0001676801	0.0001378823
Aquiluna	0.0001389665	0.0001641969
UBA1183	8.486356e-05	0.0002178344
Vagococcus_A	0.0001533616	0.0001486043
DSM-111022	1.744129e-06	0.0002999053
Romboutsia	9.856045e-05	0.000201651
JAXGXQ01	0.0001261396	0.0001740467
BNXB01	0.0001305954	0.000169268
JAISNN01	6.572016e-05	0.0002337805
WRMD01	4.333428e-05	0.0002558803
Rubrivivax	0.0001505542	0.0001486569
Aneurinibacillus_B	0.0001392656	0.0001598891
UBA5399	0.0001132805	0.0001856012
WRAP01	6.651723e-05	0.0002320865
Jeotgalibacillus	4.907266e-05	0.0002493572
Gemella	8.556045e-05	0.0002126951
Ethanoligenens	6.382055e-05	0.0002337951
UBA947	0.0001135931	0.0001836108
JACQXE01	9.451802e-05	0.0002024815
JAWRKH01	0.0001736522	0.0001231795
SKW182	1.936567e-05	0.0002773627
Nitrosomonas	0.0001556166	0.0001409155
51-20	0.000113962	0.0001823517
JAVEWA01	0.0001152146	0.0001807534
RUG12461	6.347041e-05	0.0002321363
Dyella	0.0002695147	2.527692e-05
JAHAAN01	0.0001266941	0.0001676567
UMGS1864	8.51554e-05	0.0002091925
JAAYML01	8.692391e-05	0.0002072624
Cardiobacterium	0.0001388754	0.0001551868
Entomobacter	0.0001355154	0.0001585411
Fusibacter_A	0.0001202964	0.000173651
JAQUJQ01	0.000208689	8.520156e-05
Melaminivora	0.0001552668	0.0001384831
JAVBLG01	0.000126167	0.0001668759
UBA4844	0.0001322856	0.0001606026
Nemorincola	0.0001124252	0.0001802956
RUG678	0.0001209381	0.0001716125
JAGNZR01	0.0001138455	0.0001783887
UBA8346	9.442517e-05	0.0001976375
RUG11894	0.0001788604	0.0001125443
Pullichristensenella	0.0001617706	0.0001295888
CAIXQW01	0.0001301753	0.0001609701
CAMCVV01	6.772672e-05	0.0002230925
Propionicimonas	4.747985e-05	0.0002431254
Peptoniphilus_B	0.000144451	0.0001460238
CALYOC01	0.000137842	0.0001516823
Yes70-04	0.0001641825	0.0001253197
Lacibacter	7.711998e-05	0.0002116992
Soehngenia	0.0001876467	0.0001011598
Limadaptatus	3.486298e-05	0.0002537866
HGM11327	0.0001744044	0.0001140157
BA9	0.0002135706	7.467124e-05
SIG575	5.668047e-05	0.0002314123
CAILAF01	6.997617e-05	0.0002180226
Enterococcus_I	6.841708e-05	0.0002195814
Azovibrio	0.0002366952	5.125909e-05
RUG841	8.398398e-05	0.0002034313
UBA11512	0.0001094674	0.0001776329
SFIE01	0.0001979769	8.830791e-05
JAEWYE01	0.00012233	0.0001638653
Flavisolibacter	8.802825e-05	0.0001979419
Desulfitobacterium	0.0001257088	0.0001602185
Endozoicomonas	5.29431e-05	0.000232857
Allochristensenella	3.548164e-05	0.0002501908
CAUPWF01	0.0001160144	0.0001690466
UBA1764	0.0001551602	0.0001297185
Alteribacillus	9.323253e-05	0.0001915289
JBBAGC01	0.0001369411	0.0001474794
Syntrophopropionicum	0.0002070655	7.723436e-05
JAVXFE01	0.0001590048	0.0001246299
BNZQ01	2.98489e-05	0.0002537427
Microbacterium	0.0001024678	0.0001805064
JAEXAX01	4.967094e-05	0.0002315436
Psychrilyobacter	0.0001425264	0.0001385644
Bacillus_BV	0.0001128318	0.0001680147
JAQXVU01	0.0001620794	0.0001185621
Spiro-02	0.0001615042	0.0001191287
RGIG1874	0.0001423198	0.0001378811
Defluviilinea	8.91896e-05	0.0001908393
DUMO01	7.920628e-05	0.0002003095
WRKD01	0.0001390305	0.0001404044
JAWLHA01	0.0001699315	0.0001093846
CANRGD01	0.0001190681	0.0001599092
WRKB01	8.105052e-05	0.000197713
CAMEJP01	9.901208e-05	0.0001797284
CANRES01	2.600484e-05	0.000252436
Gallibacteroides	0.0001429362	0.0001349385
JAQUSX01	9.29549e-05	0.0001848768
UBA4923	0.0001536423	0.0001239716
HGM11501	0.0001338323	0.0001437454
