ID	ND1	ND2	ND3	ND4	ND5	FL4	FL7	FL6	FL5	FL8
ND1	0	0.359872373454007	0.354367813521579	0.275850751132485	0.319019792410194	0.423592505853462	0.412560488188716	0.394395194060545	0.44427330927767	0.343777746045895
ND2	0.359872373454007	0	0.40252937143889	0.227415397563587	0.41361624139645	0.51911864229913	0.514393338088281	0.398184804225167	0.539629614946609	0.273672343053074
ND3	0.354367813521579	0.40252937143889	0	0.430487232244752	0.345280365781783	0.44926136737449	0.488131238295479	0.431717326000989	0.495040158295239	0.430219076885027
ND4	0.275850751132485	0.227415397563587	0.430487232244752	0	0.408827993884978	0.546863336221615	0.530781989211714	0.395413633426516	0.556343268537427	0.25646096092836
ND5	0.319019792410194	0.41361624139645	0.345280365781783	0.408827993884978	0	0.449356905744208	0.411037589571602	0.339980668345954	0.460905302151304	0.406957070679682
FL4	0.423592505853462	0.51911864229913	0.44926136737449	0.546863336221615	0.449356905744208	0	0.230247675628834	0.506743840916289	0.23734806247219	0.514717278659372
FL7	0.412560488188716	0.514393338088281	0.488131238295479	0.530781989211714	0.411037589571602	0.230247675628834	0	0.500781178514538	0.233516430095699	0.466101146646743
FL6	0.394395194060545	0.398184804225167	0.431717326000989	0.395413633426516	0.339980668345954	0.506743840916289	0.500781178514538	0	0.511923162086693	0.309107841312461
FL5	0.44427330927767	0.539629614946609	0.495040158295239	0.556343268537427	0.460905302151304	0.23734806247219	0.233516430095699	0.511923162086693	0	0.523301985977195
FL8	0.343777746045895	0.273672343053074	0.430219076885027	0.25646096092836	0.406957070679682	0.514717278659372	0.466101146646743	0.309107841312461	0.523301985977195	0
