ID	LPD	FN
SIG653	0.0001973044	0.0001330871
UBA4874	0.0002630241	6.601265e-05
Thermoclostridium	0.0002199024	0.000106922
Syntrophobotulus	0.0001647104	0.0001615324
QAND01	0.0001969577	0.0001277851
Terracidiphilus	7.815211e-05	0.0002452335
JAHHTM01	0.0001443581	0.0001778403
RGIG1959	0.0002187695	0.0001033499
Breznakiella	1.250279e-05	0.0003093467
SIG644	0.0001536951	0.0001675372
DUOA01	0.000228647	9.242761e-05
RGIG7273	0.0002998932	2.035571e-05
RUG420	0.0002066404	0.0001128137
RUG343	6.852452e-05	0.0002509063
JAAZZIT01	0.0001952158	0.0001241814
Bacteroides_I	0.0001724344	0.0001460274
Desulfofarcimen	0.0002594596	5.866634e-05
CAG-762	0.0001848893	0.0001330541
CALXFK01	0.0001868109	0.0001298325
Cryobacterium	0.0002378913	7.870709e-05
RUG11872	0.000244013	7.200403e-05
Pelosinus	0.000269898	4.531728e-05
JACDOG01	0.0002524628	6.200021e-05
WRLO01	0.0001716698	0.0001412939
UBA10677	6.923361e-05	0.000243296
UMGS1338	0.0001691232	0.0001431201
JAIMAT01	0.0002089303	0.0001032539
Pectinatus	0.0001521449	0.0001598566
SIG627	0.0001895965	0.0001206589
Megamonas	0.0001319285	0.0001773712
Limicola	0.0001478667	0.0001613368
Aquibacillus	0.0002324039	7.620353e-05
Dorea_B	0.0001505401	0.0001578828
Plantibacter	0.0001580594	0.000149952
Pseudoduganella	0.000190452	0.0001172653
Syntrophopropionicum	0.000199749	0.0001074779
JAENZQ01	0.0001938575	0.0001130759
GWF2-38-85	0.0002585543	4.77236e-05
AZRK01	0.0002679585	3.726378e-05
Enterobacter	4.127191e-05	0.0002629829
Atopobium	8.225911e-05	0.0002219599
JAILEN01	0.0001885335	0.0001150004
CAKRZE01	0.0002099358	9.296384e-05
Parvimonas	0.0001753873	0.0001272096
JAILQS01	0.000197906	0.0001042589
JAEZXR01	0.0002217065	8.001836e-05
F23-D06	0.0001046069	0.0001959524
Lentilactobacillus	0.0001883513	0.000111232
CAG-611	0.0001858355	0.0001134992
Limadaptatus	0.0002276523	7.149743e-05
UMGS1532	0.0002215823	7.726547e-05
Bacillus_BJ	0.0001165276	0.0001820234
MWCQ01	0.0001980973	0.0001004026
PNNG01	0.0002651378	3.303371e-05
CTSoil-080	0.0002266905	7.076896e-05
Desulfofalx	0.0002201005	7.711919e-05
Gudongella	0.0002521406	4.43155e-05
RUG708	0.0001498727	0.000146446
JAAZDD01	0.0002489298	4.730046e-05
XBD2001	0.0001574481	0.0001382202
CAKOLN01	9.907038e-05	0.0001965603
UBA1784	0.0001747901	0.0001200419
RGIG1962	0	0.0002947157
Geofilum	5.89976e-05	0.0002348838
JAEZJL01	0.0001838309	0.0001098202
DUQX01	0.0001959325	9.751276e-05
JAFIFG01	0.0002892486	3.749398e-06
UBA1351	0.0002312283	6.145791e-05
CAKSCM01	0.0002420007	5.058717e-05
Marinomonas	0.0001934779	9.87414e-05
JAFSEX01	8.075673e-05	0.0002113352
Denitrobacterium	0.0001184508	0.0001722249
UBA941	0.0001903706	9.986002e-05
T78	2.485985e-06	0.0002877322
CAJLXD01	0	0.0002902041
Phascolarctobacterium	0.0001669686	0.0001230672
CAG-724	0.0001853789	0.0001044242
CALVXF01	0.0001131283	0.0001763401
Schnuerera	0.0001792145	0.0001100879
Tindallia	0.0002433532	4.582189e-05
RGIG6165	0.0002525015	3.619352e-05
RGIG9201	0.0002011041	8.757378e-05
Clostridium_H	0.0001587043	0.0001295134
CALWAM01	9.59791e-05	0.000192086
